# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\kayla\OneDrive\Documents\ECE385\lab7\lab7_pins.csv
# Generated on: Thu Nov 17 18:17:47 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
DRAM_ADDR[5],Output,PIN_T18,5,B5_N0,PIN_T18,2.5 V,,,,,
DRAM_ADDR[4],Output,PIN_U19,5,B5_N0,PIN_U19,2.5 V,,,,,
DRAM_ADDR[3],Output,PIN_U18,5,B5_N0,PIN_U18,2.5 V,,,,,
DRAM_ADDR[2],Output,PIN_V18,5,B5_N0,PIN_V18,2.5 V,,,,,
DRAM_ADDR[1],Output,PIN_W19,5,B5_N0,PIN_W19,2.5 V,,,,,
DRAM_ADDR[0],Output,PIN_U17,5,B5_N0,PIN_U17,2.5 V,,,,,
DRAM_BA[1],Output,PIN_T22,5,B5_N0,PIN_T22,2.5 V,,,,,
DRAM_BA[0],Output,PIN_T21,5,B5_N0,PIN_T21,2.5 V,,,,,
DRAM_CAS_N,Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
DRAM_CKE,Output,PIN_N22,5,B5_N0,PIN_N22,2.5 V,,,,,
DRAM_CLK,Output,PIN_L14,6,B6_N0,PIN_L14,2.5 V,,,,,
DRAM_CS_N,Output,PIN_U20,5,B5_N0,PIN_U20,2.5 V,,,,,
DRAM_DQ[15],Bidir,PIN_F22,6,B6_N0,PIN_F22,2.5 V,,,,,
DRAM_DQ[14],Bidir,PIN_G19,6,B6_N0,PIN_G19,2.5 V,,,,,
DRAM_DQ[13],Bidir,PIN_G20,6,B6_N0,PIN_G20,2.5 V,,,,,
DRAM_DQ[12],Bidir,PIN_G22,6,B6_N0,PIN_G22,2.5 V,,,,,
DRAM_DQ[11],Bidir,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
DRAM_DQ[10],Bidir,PIN_H21,6,B6_N0,PIN_H21,2.5 V,,,,,
DRAM_DQ[9],Bidir,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
DRAM_DQ[8],Bidir,PIN_P21,5,B5_N0,PIN_P21,2.5 V,,,,,
DRAM_DQ[7],Bidir,PIN_V21,5,B5_N0,PIN_V21,2.5 V,,,,,
DRAM_DQ[6],Bidir,PIN_W20,5,B5_N0,PIN_W20,2.5 V,,,,,
DRAM_DQ[5],Bidir,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
DRAM_DQ[4],Bidir,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
DRAM_DQ[3],Bidir,PIN_AA21,5,B5_N0,PIN_AA21,2.5 V,,,,,
DRAM_DQ[2],Bidir,PIN_AA22,5,B5_N0,PIN_AA22,2.5 V,,,,,
DRAM_DQ[1],Bidir,PIN_Y20,5,B5_N0,PIN_Y20,2.5 V,,,,,
DRAM_DQ[0],Bidir,PIN_Y21,5,B5_N0,PIN_Y21,2.5 V,,,,,
DRAM_LDQM,Output,PIN_V22,5,B5_N0,PIN_V22,2.5 V,,,,,
DRAM_RAS_N,Output,PIN_U22,5,B5_N0,PIN_U22,2.5 V,,,,,
DRAM_UDQM,Output,PIN_J21,6,B6_N0,PIN_J21,2.5 V,,,,,
DRAM_WE_N,Output,PIN_V20,5,B5_N0,PIN_V20,2.5 V,,,,,
HEX0[7],Output,PIN_D15,7,B7_N0,PIN_D15,2.5 V,,,,,
HEX0[6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
HEX0[5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
HEX0[4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
HEX0[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
HEX0[2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
HEX0[1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
HEX0[0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
HEX1[7],Output,PIN_A16,7,B7_N0,PIN_A16,2.5 V,,,,,
HEX1[6],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
HEX1[5],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
HEX1[4],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
HEX1[3],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
HEX1[2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
HEX1[1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
HEX1[0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
HEX2[7],Output,PIN_A19,7,B7_N0,PIN_A19,2.5 V,,,,,
HEX2[6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
HEX2[5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
HEX2[4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
HEX2[3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
HEX2[2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
HEX2[1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
HEX2[0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
HEX3[7],Output,PIN_D22,6,B6_N0,PIN_D22,2.5 V,,,,,
HEX3[6],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
HEX3[5],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
HEX3[4],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
HEX3[3],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
HEX3[2],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
HEX3[1],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
HEX3[0],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
HEX4[7],Output,PIN_F17,6,B6_N0,PIN_F17,2.5 V,,,,,
HEX4[6],Output,PIN_F20,6,B6_N0,PIN_F20,2.5 V,,,,,
HEX4[5],Output,PIN_F19,6,B6_N0,PIN_F19,2.5 V,,,,,
HEX4[4],Output,PIN_H19,6,B6_N0,PIN_H19,2.5 V,,,,,
HEX4[3],Output,PIN_J18,6,B6_N0,PIN_J18,2.5 V,,,,,
HEX4[2],Output,PIN_E19,6,B6_N0,PIN_E19,2.5 V,,,,,
HEX4[1],Output,PIN_E20,6,B6_N0,PIN_E20,2.5 V,,,,,
HEX4[0],Output,PIN_F18,6,B6_N0,PIN_F18,2.5 V,,,,,
HEX5[7],Output,PIN_L19,6,B6_N0,PIN_L19,2.5 V,,,,,
HEX5[6],Output,PIN_N20,6,B6_N0,PIN_N20,2.5 V,,,,,
HEX5[5],Output,PIN_N19,6,B6_N0,PIN_N19,2.5 V,,,,,
HEX5[4],Output,PIN_M20,6,B6_N0,PIN_M20,2.5 V,,,,,
HEX5[3],Output,PIN_N18,6,B6_N0,PIN_N18,2.5 V,,,,,
HEX5[2],Output,PIN_L18,6,B6_N0,PIN_L18,2.5 V,,,,,
HEX5[1],Output,PIN_K20,6,B6_N0,PIN_K20,2.5 V,,,,,
HEX5[0],Output,PIN_J20,6,B6_N0,PIN_J20,2.5 V,,,,,
KEY[1],Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
KEY[0],Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
LEDR[9],Output,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
LEDR[8],Output,PIN_A11,7,B7_N0,PIN_A11,2.5 V,,,,,
LEDR[7],Output,PIN_D14,7,B7_N0,PIN_D14,2.5 V,,,,,
LEDR[6],Output,PIN_E14,7,B7_N0,PIN_E14,2.5 V,,,,,
LEDR[5],Output,PIN_C13,7,B7_N0,PIN_C13,2.5 V,,,,,
LEDR[4],Output,PIN_D13,7,B7_N0,PIN_D13,2.5 V,,,,,
LEDR[3],Output,PIN_B10,7,B7_N0,PIN_B10,2.5 V,,,,,
LEDR[2],Output,PIN_A10,7,B7_N0,PIN_A10,2.5 V,,,,,
LEDR[1],Output,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
LEDR[0],Output,PIN_A8,7,B7_N0,PIN_A8,2.5 V,,,,,
MAX10_CLK1_50,Input,PIN_P11,3,B3_N0,PIN_P11,2.5 V,,,,,
SW[9],Input,PIN_F15,7,B7_N0,PIN_F15,2.5 V,,,,,
SW[8],Input,PIN_B14,7,B7_N0,PIN_B14,2.5 V,,,,,
SW[7],Input,PIN_A14,7,B7_N0,PIN_A14,2.5 V,,,,,
SW[6],Input,PIN_A13,7,B7_N0,PIN_A13,2.5 V,,,,,
SW[5],Input,PIN_B12,7,B7_N0,PIN_B12,2.5 V,,,,,
SW[4],Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
SW[3],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
SW[2],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
SW[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
SW[0],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
VGA_B[3],Output,PIN_N2,2,B2_N0,PIN_N2,2.5 V,,,,,
VGA_B[2],Output,PIN_P4,2,B2_N0,PIN_P4,2.5 V,,,,,
VGA_B[1],Output,PIN_T1,2,B2_N0,PIN_T1,2.5 V,,,,,
VGA_B[0],Output,PIN_P1,2,B2_N0,PIN_P1,2.5 V,,,,,
VGA_G[3],Output,PIN_R1,2,B2_N0,PIN_R1,2.5 V,,,,,
VGA_G[2],Output,PIN_R2,2,B2_N0,PIN_R2,2.5 V,,,,,
VGA_G[1],Output,PIN_T2,2,B2_N0,PIN_T2,2.5 V,,,,,
VGA_G[0],Output,PIN_W1,2,B2_N0,PIN_W1,2.5 V,,,,,
VGA_HS,Output,PIN_N3,2,B2_N0,PIN_N3,2.5 V,,,,,
VGA_R[3],Output,PIN_Y1,3,B3_N0,PIN_Y1,2.5 V,,,,,
VGA_R[2],Output,PIN_Y2,3,B3_N0,PIN_Y2,2.5 V,,,,,
VGA_R[1],Output,PIN_V1,2,B2_N0,PIN_V1,2.5 V,,,,,
VGA_R[0],Output,PIN_AA1,3,B3_N0,PIN_AA1,2.5 V,,,,,
VGA_VS,Output,PIN_N1,2,B2_N0,PIN_N1,2.5 V,,,,,
altera_reserved_tck,Input,,,,PIN_G2,,,,,,
altera_reserved_tdi,Input,,,,PIN_L4,,,,,,
altera_reserved_tdo,Output,,,,PIN_M5,,,,,,
altera_reserved_tms,Input,,,,PIN_H2,,,,,,
